pkuid,vertex_index,xcoord,ycoord
93,0,13.133,51.49
93,1,13.036,51.564
93,2,12.835,51.714
93,3,12.813,51.73
93,4,12.784,51.745
93,5,12.743,51.762
93,6,12.704,51.778
93,7,12.673,51.792
93,8,12.546,51.862
93,9,12.521,51.874
93,10,12.493,51.887
93,11,12.459,51.898
93,12,12.431,51.906
93,13,12.365,51.921
93,14,12.305,51.928
93,15,12.239,51.936
93,16,12.177,51.944
93,17,12.13,51.952
93,18,12.085,51.962
93,19,11.988,51.984
93,20,11.842,52.022
93,21,11.702,52.067
93,22,11.621,52.099
93,23,11.578,52.116
93,24,11.543,52.128
93,25,11.512,52.141
93,26,11.491,52.151
93,27,11.473,52.162
93,28,11.459,52.172
93,29,11.443,52.184
94,0,13.074,51.255
94,1,13.022,51.257
94,2,12.972,51.256
94,3,12.949,51.267
94,4,12.928,51.279
94,5,12.909,51.293
94,6,12.892,51.307
95,0,13.491,51.314
95,1,13.587,51.261
96,0,13.349,51.392
96,1,13.361,51.389
96,2,13.372,51.385
96,3,13.382,51.38
96,4,13.419,51.354
96,5,13.448,51.337
96,6,13.478,51.321
96,7,13.491,51.314
97,0,13.178,51.493
97,1,13.17,51.487
97,2,13.166,51.481
97,3,13.165,51.476
97,4,13.171,51.47
97,5,13.186,51.459
97,6,13.211,51.444
97,7,13.237,51.43
97,8,13.255,51.421
97,9,13.265,51.418
97,10,13.274,51.417
97,11,13.291,51.42
98,0,13.583,50.989
98,1,13.59,50.984
98,2,13.623,50.965
98,3,13.642,50.955
98,4,13.659,50.947
98,5,13.781,50.9
99,0,14.02,50.811
99,1,14.016,50.794
99,2,14.016,50.778
100,0,13.751,51.169
100,1,13.77,51.157
100,2,13.777,51.15
100,3,13.788,51.142
100,4,13.807,51.131
100,5,13.81,51.131
101,0,13.81,51.131
101,1,13.852,51.098
102,0,13.281,51.16
102,1,13.306,51.14
102,2,13.334,51.114
102,3,13.347,51.106
102,4,13.375,51.095
102,5,13.417,51.082
102,6,13.464,51.071
102,7,13.477,51.069
102,8,13.486,51.069
102,9,13.491,51.068
102,10,13.521,51.049
102,11,13.54,51.033
103,0,13.54,51.033
103,1,13.561,51.018
104,0,13.864,51.089
104,1,13.892,51.074
104,2,13.923,51.062
104,3,13.956,51.053
104,4,13.993,51.046
104,5,14.043,51.037
105,0,13.561,51.018
105,1,13.572,51.002
105,2,13.583,50.989
106,0,13.587,51.261
106,1,13.609,51.25
106,2,13.641,51.23
106,3,13.678,51.209
106,4,13.732,51.181
106,5,13.751,51.169
107,0,14.025,50.84
107,1,14.026,50.838
107,2,14.025,50.822
107,3,14.02,50.811
108,0,14.02,50.811
108,1,13.958,50.827
108,2,13.92,50.845
108,3,13.861,50.868
108,4,13.825,50.878
108,5,13.784,50.889
108,6,13.782,50.895
108,7,13.781,50.9
109,0,15.287,50.053
109,1,15.302,50.045
109,2,15.32,50.038
109,3,15.379,50.017
109,4,15.423,50
109,5,15.442,49.991
109,6,15.472,49.974
110,0,14.016,50.778
110,1,14.017,50.772
110,2,14.017,50.767
110,3,14.019,50.76
110,4,14.021,50.756
110,5,14.027,50.75
110,6,14.033,50.745
110,7,14.041,50.741
110,8,14.05,50.737
111,0,14.356,50.562
111,1,14.37,50.556
111,2,14.393,50.545
111,3,14.414,50.535
111,4,14.436,50.525
111,5,14.447,50.519
111,6,14.457,50.514
111,7,14.478,50.503
111,8,14.498,50.492
111,9,14.518,50.481
111,10,14.539,50.47
111,11,14.56,50.459
111,12,14.581,50.447
111,13,14.602,50.436
111,14,14.623,50.424
111,15,14.645,50.412
111,16,14.666,50.401
111,17,14.688,50.388
111,18,14.71,50.376
111,19,14.731,50.365
111,20,14.753,50.353
111,21,14.774,50.342
111,22,14.795,50.331
111,23,14.817,50.32
111,24,14.837,50.309
111,25,14.857,50.299
111,26,14.858,50.299
111,27,14.858,50.299
111,28,14.858,50.299
111,29,14.879,50.288
111,30,14.9,50.277
111,31,14.92,50.266
111,32,14.941,50.256
111,33,14.961,50.245
111,34,14.981,50.234
111,35,15.001,50.223
111,36,15.021,50.212
111,37,15.04,50.202
111,38,15.06,50.191
111,39,15.079,50.18
111,40,15.099,50.168
111,41,15.118,50.157
111,42,15.137,50.146
111,43,15.156,50.135
111,44,15.175,50.123
111,45,15.194,50.112
111,46,15.213,50.1
111,47,15.231,50.089
111,48,15.25,50.077
111,49,15.268,50.065
111,50,15.287,50.053
112,0,15.743,49.759
112,1,15.784,49.734
112,2,15.829,49.708
113,0,15.472,49.974
113,1,15.522,49.917
113,2,15.603,49.839
113,3,15.733,49.765
113,4,15.743,49.759
