pkuid,vertex_index,xcoord,ycoord
28,0,17.094,49.507
28,1,17.007,49.675
29,0,17.032,49.925
29,1,17.009,49.938
29,2,16.983,49.948
30,0,17.299,49.741
30,1,17.247,49.777
31,0,16.999,49.686
31,1,16.967,49.735
31,2,16.939,49.785
32,0,17.624,49.307
32,1,17.568,49.33
33,0,17.031,49.476
33,1,17.064,49.469
33,2,17.086,49.463
33,3,17.141,49.443
33,4,17.17,49.431
33,5,17.213,49.408
33,6,17.291,49.363
33,7,17.354,49.328
33,8,17.375,49.314
33,9,17.398,49.297
34,0,17.698,49.269
34,1,17.624,49.307
35,0,17.398,49.297
35,1,17.414,49.281
35,2,17.431,49.267
35,3,17.449,49.254
35,4,17.463,49.246
36,0,17.698,49.269
36,1,17.732,49.251
37,0,16.912,49.84
37,1,16.886,49.895
38,0,17.154,49.847
38,1,17.122,49.867
38,2,17.071,49.901
38,3,17.032,49.925
39,0,16.92,49.823
39,1,16.912,49.84
40,0,17.007,49.675
40,1,16.999,49.686
41,0,17.201,49.521
41,1,17.226,49.512
41,2,17.311,49.469
41,3,17.351,49.446
41,4,17.403,49.414
42,0,17.403,49.414
42,1,17.444,49.388
43,0,17.568,49.33
43,1,17.536,49.344
43,2,17.505,49.358
43,3,17.475,49.373
43,4,17.444,49.388
44,0,16.939,49.785
44,1,16.92,49.823
45,0,17.247,49.777
45,1,17.229,49.798
45,2,17.208,49.816
45,3,17.183,49.832
45,4,17.154,49.847
46,0,17.463,49.246
46,1,17.47,49.242
46,2,17.515,49.215
47,0,16.983,49.948
47,1,16.949,49.962
48,0,17.299,49.741
48,1,17.357,49.695
48,2,17.428,49.633
48,3,17.438,49.623
49,0,16.989,49.482
49,1,17.031,49.476
50,0,17.747,49.243
50,1,17.81,49.209
51,0,17.515,49.215
51,1,17.556,49.192
