pkuid,vertex_index,xcoord,ycoord
218,0,10.912,50.435
218,1,10.9,50.442
218,2,10.891,50.449
218,3,10.873,50.473
218,4,10.85,50.496
219,0,11.154,50.375
219,1,11.167,50.371
219,2,11.191,50.362
219,3,11.23,50.34
219,4,11.245,50.33
220,0,10.839,50.511
220,1,10.828,50.515
220,2,10.82,50.521
220,3,10.801,50.543
220,4,10.789,50.559
221,0,10.85,50.496
221,1,10.842,50.503
221,2,10.839,50.511
222,0,11.135,50.383
222,1,11.123,50.39
222,2,11.111,50.392
222,3,11.104,50.394
222,4,11.085,50.404
222,5,11.066,50.409
222,6,11.049,50.418
222,7,11.028,50.422
222,8,10.996,50.434
222,9,10.97,50.442
223,0,11.135,50.383
223,1,11.144,50.378
223,2,11.154,50.375
224,0,10.597,50.693
224,1,10.587,50.697
224,2,10.57,50.702
224,3,10.563,50.704
224,4,10.559,50.705
224,5,10.555,50.706
224,6,10.551,50.708
224,7,10.543,50.712
224,8,10.536,50.716
224,9,10.523,50.726
224,10,10.516,50.734
224,11,10.503,50.746
224,12,10.492,50.756
224,13,10.487,50.761
225,0,10.691,50.613
225,1,10.692,50.613
225,2,10.693,50.613
225,3,10.703,50.61
225,4,10.711,50.606
226,0,11.362,50.281
226,1,11.294,50.273
226,2,11.281,50.271
226,3,11.263,50.271
226,4,11.259,50.279
226,5,11.256,50.288
226,6,11.253,50.296
226,7,11.249,50.313
226,8,11.245,50.33
227,0,11.437,50.231
227,1,11.436,50.239
227,2,11.433,50.247
227,3,11.426,50.255
227,4,11.419,50.261
227,5,11.409,50.267
227,6,11.396,50.269
227,7,11.362,50.281
228,0,12.207,49.352
228,1,12.126,49.379
229,0,12.508,49.251
229,1,12.489,49.253
229,2,12.477,49.256
229,3,12.436,49.271
229,4,12.403,49.286
229,5,12.342,49.316
229,6,12.314,49.328
229,7,12.288,49.337
229,8,12.276,49.341
229,9,12.262,49.344
229,10,12.248,49.346
229,11,12.225,49.348
229,12,12.207,49.352
230,0,12.554,49.227
230,1,12.551,49.229
230,2,12.541,49.234
230,3,12.528,49.239
230,4,12.524,49.244
230,5,12.515,49.248
230,6,12.511,49.249
230,7,12.508,49.251
231,0,11.991,49.851
231,1,12.019,49.835
231,2,12.035,49.824
231,3,12.057,49.807
231,4,12.084,49.783
231,5,12.095,49.777
231,6,12.108,49.77
231,7,12.121,49.758
231,8,12.139,49.75
232,0,12.139,49.75
232,1,12.158,49.737
232,2,12.173,49.719
232,3,12.182,49.706
232,4,12.183,49.705
232,5,12.183,49.705
233,0,10.4,50.795
233,1,10.375,50.806
233,2,10.337,50.815
233,3,10.316,50.823
233,4,10.312,50.825
234,0,10.4,50.795
234,1,10.487,50.761
235,0,13.249,48.933
235,1,13.297,48.918
235,2,13.38,48.906
235,3,13.443,48.899
235,4,13.508,48.892
235,5,13.574,48.875
235,6,13.633,48.85
235,7,13.686,48.825
236,0,13.686,48.825
236,1,13.706,48.815
236,2,13.773,48.779
236,3,13.802,48.76
237,0,13.802,48.76
237,1,13.854,48.724
238,0,10.778,50.572
238,1,10.723,50.597
238,2,10.711,50.606
239,0,10.778,50.572
239,1,10.789,50.559
240,0,10.597,50.693
240,1,10.608,50.685
240,2,10.616,50.675
240,3,10.624,50.66
240,4,10.632,50.642
240,5,10.639,50.635
240,6,10.646,50.628
240,7,10.658,50.622
240,8,10.671,50.618
240,9,10.691,50.613
241,0,11.437,50.231
241,1,11.448,50.217
241,2,11.467,50.206
241,3,11.51,50.177
241,4,11.517,50.171
241,5,11.528,50.157
242,0,11.528,50.157
242,1,11.532,50.159
242,2,11.537,50.16
242,3,11.542,50.159
242,4,11.546,50.157
243,0,11.546,50.157
243,1,11.581,50.137
244,0,11.581,50.137
244,1,11.597,50.125
244,2,11.607,50.116
244,3,11.619,50.102
244,4,11.631,50.085
244,5,11.639,50.078
244,6,11.645,50.072
245,0,11.645,50.072
245,1,11.655,50.064
245,2,11.67,50.054
